"","X1","X2","X3","X4","X5","X6"
"1",1,0,0,1,1,0.373925370721395
"2",0,0,0,1,1,0.375703282846996
"3",1,1,0,1,1,0.373116476650675
"4",1,0,0,1,1,0.372705657644286
"5",1,1,0,1,1,0.373381582846151
"6",0,0,0,1,1,0.372683536633332
"7",0,0,0,0,1,0.372867307975463
"8",1,1,0,1,1,0.373262640358577
"9",1,0,0,1,1,0.372813002075924
"10",1,0,0,1,1,0.373671730333288
"11",0,0,0,0,1,0.373242467722194
"12",0,0,0,0,1,0.372838255950347
"13",1,0,0,1,1,0.373162836365232
"14",0,0,0,1,1,0.372940244654084
"15",0,0,0,0,1,0.375270694751954
"16",0,0,0,1,1,0.372521249899055
"17",1,0,0,1,1,0.374195868609045
"18",0,0,0,0,1,0.373385748313006
"19",1,1,0,1,1,0.375623346630962
"20",1,0,0,1,1,0.373026953484333
"21",1,1,0,1,1,0.372147118426558
"22",1,0,0,1,1,0.373645275062134
"23",0,0,0,1,1,0.375838023481033
"24",0,0,0,1,1,0.373749484501057
"25",0,0,0,1,1,0.372671036555535
"26",0,0,0,0,1,0.373357239237754
"27",0,0,0,1,1,0.373381138805722
"28",1,0,0,1,1,0.373746723018333
"29",1,0,0,1,1,0.374881443351684
"30",1,0,0,1,1,0.37271501576013
"31",1,0,0,1,1,0.373469685780788
"32",0,0,0,0,1,0.373856417276314
"33",0,0,0,0,1,0.373064428086675
"34",1,1,0,1,1,0.374319639916216
"35",1,0,0,1,1,0.37267025251188
"36",1,1,0,1,1,0.374568345883001
"37",0,0,0,1,1,0.374758057136427
"38",1,1,0,1,1,0.374268081408509
"39",1,1,0,1,1,0.373512343214557
"40",1,1,0,1,1,0.374311622620462
"41",0,0,0,1,1,0.374771049349855
"42",1,0,0,1,1,0.373838019530256
"43",1,1,0,1,1,0.373640378801426
"44",0,0,0,1,1,0.372204377830976
"45",0,0,0,1,1,0.371279980603067
"46",0,0,0,0,1,0.372443474072092
"47",0,0,0,1,1,0.373948031436087
"48",0,0,0,0,1,0.37474955101901
"49",1,0,0,1,1,0.374900189354951
"50",0,0,0,0,1,0.372761732232367
"51",0,0,0,0,0,0.373369207925211
"52",1,0,0,1,1,0.37298961253631
"53",0,0,0,1,1,0.374197877020194
"54",0,0,0,0,1,0.373720319886758
"55",0,0,0,0,1,0.371888373011741
"56",0,0,0,0,1,0.37353644956741
"57",0,0,0,1,1,0.376417957250653
"58",1,0,0,1,1,0.372011997565763
"59",0,0,0,1,1,0.373338645669863
"60",0,0,0,1,1,0.374171039689213
"61",1,0,0,1,1,0.373820075080103
"62",1,1,0,1,1,0.374599193893529
"63",1,1,0,1,1,0.372150612784457
"64",0,0,0,0,0,0.371696938478375
"65",1,0,0,1,1,0.373399783327724
"66",0,0,0,0,1,0.375482857504141
"67",1,0,0,1,1,0.373484568442414
"68",0,0,0,1,1,0.374439189778329
"69",1,0,0,1,1,0.374465071105612
"70",1,0,0,1,1,0.37278967087256
"71",0,0,0,0,1,0.374654574391375
"72",1,0,0,1,1,0.371936171522977
"73",1,1,0,1,1,0.372072276489812
"74",0,0,0,1,1,0.37379229343337
"75",1,1,0,1,1,0.373591206954542
"76",0,0,0,1,1,0.373147474965562
"77",0,0,0,1,1,0.374055133658717
"78",0,0,0,1,1,0.373202355755976
"79",1,0,0,1,1,0.374080337036692
"80",1,0,0,1,1,0.375076557977993
"81",1,0,0,1,1,0.372186709760806
"82",1,0,0,1,1,0.373880051918143
"83",1,0,0,1,1,0.373591155134994
"84",0,0,0,0,1,0.373208429849482
"85",1,0,0,1,1,0.373488520476819
"86",1,0,0,1,1,0.37673242654427
"87",1,0,0,1,1,0.373669069166072
"88",1,0,0,1,1,0.372194616641789
"89",1,0,0,1,1,0.373136650044527
"90",1,0,0,1,1,0.37181096774435
"91",1,0,0,1,1,0.37384773397017
"92",1,0,0,1,1,0.376222240391759
"93",0,0,0,1,1,0.373540711226116
"94",1,0,0,1,1,0.374596873948708
"95",1,1,0,1,1,0.374378571675144
"96",0,0,0,1,1,0.374333744328877
"97",0,0,0,0,1,0.37471808373773
"98",1,0,0,1,1,0.376277446089144
"99",1,1,0,1,1,0.374427760917085
"100",1,0,0,1,1,0.373125988670483
"101",1,1,0,1,1,0.372842683184088
"102",0,0,0,0,1,0.374835275914083
"103",1,0,0,1,1,0.372520389126066
"104",0,0,0,0,1,0.374938411994669
"105",0,0,0,1,1,0.375400361639209
"106",1,1,0,1,1,0.374157459685087
"107",1,1,0,1,1,0.373125640836861
"108",1,0,0,1,1,0.372664662708781
"109",1,1,0,1,1,0.374283490188641
"110",1,1,0,1,1,0.375750292641164
"111",1,0,0,1,1,0.372658122467548
"112",1,1,0,1,1,0.373802741262199
"113",1,0,0,1,1,0.374169835404701
"114",1,0,0,1,1,0.373652847515339
"115",0,0,0,0,1,0.374617545831852
"116",1,0,0,1,1,0.373916901531425
"117",1,0,0,1,1,0.372664036041423
"118",1,0,0,1,1,0.374115900430054
"119",0,0,0,1,1,0.37281838501021
"120",1,0,0,1,1,0.375328158223936
"121",1,1,0,1,1,0.373420486968963
"122",1,1,0,1,1,0.374540095498669
"123",0,0,0,1,1,0.372471716625394
"124",1,1,0,1,1,0.375375564780563
"125",0,0,0,0,1,0.375517439398267
"126",0,0,0,0,1,0.375931959378035
"127",1,1,0,1,1,0.375332124788407
"128",1,1,0,1,1,0.374312630476615
"129",1,0,0,1,1,0.372457436800551
"130",1,1,0,1,1,0.372963876101669
"131",0,0,0,0,1,0.374193963452943
"132",1,1,0,1,1,0.372544438114803
"133",1,0,0,1,1,0.37438957364464
"134",1,1,0,1,1,0.373274353646469
"135",1,0,0,1,1,0.372272499729245
"136",1,1,0,1,1,0.371926459760333
"137",1,1,0,1,1,0.372929783079748
"138",0,0,0,0,1,0.374201507436513
"139",0,0,0,0,1,0.376034205279566
"140",1,1,0,1,1,0.373676475664246
"141",1,1,0,1,1,0.372707103611257
"142",1,1,0,1,1,0.374058143468422
"143",1,1,0,1,1,0.372861823877819
"144",1,0,0,1,1,0.374974613590342
"145",1,1,0,1,1,0.373523406978959
"146",1,1,0,1,1,0.374605723482585
"147",0,0,0,1,1,0.372157849206394
"148",1,0,0,1,1,0.374363030411606
"149",0,0,0,0,1,0.373391296388979
"150",1,1,0,1,1,0.371754639143458
"151",1,1,0,1,1,0.373490464040017
"152",1,1,0,1,1,0.373223861840747
"153",1,1,0,1,1,0.372215421320081
"154",0,0,0,1,1,0.372314231749371
"155",1,1,0,1,1,0.373021377837364
"156",1,1,0,1,1,0.374098455048212
"157",1,0,0,1,1,0.372487938288305
"158",1,1,0,1,1,0.372626121274421
"159",1,0,0,1,1,0.37192271962627
"160",1,0,0,1,1,0.373262114222673
"161",1,1,0,1,1,0.372902819159998
"162",1,1,0,1,1,0.373189326971733
"163",1,0,0,1,1,0.373236895951144
"164",1,1,0,1,1,0.373007452409485
"165",1,1,0,1,1,0.372302435750098
"166",0,0,0,0,1,0.374712969606024
"167",0,0,0,0,1,0.374841775565396
"168",0,0,0,1,1,0.374106314765661
"169",1,0,0,1,1,0.374303088221419
"170",1,0,0,1,1,0.373936137708292
"171",0,0,0,0,1,0.374410249773526
"172",1,1,0,1,1,0.373184646532732
"173",1,0,0,1,1,0.374248181502987
"174",1,1,0,1,1,0.37343103600914
"175",1,1,0,1,1,0.373657517055364
"176",1,0,0,1,1,0.373579952548543
"177",0,0,0,0,1,0.371599379398026
"178",1,0,0,1,1,0.373732825790753
"179",1,0,0,1,1,0.371360412405688
"180",1,1,0,1,1,0.373859013425683
"181",1,1,0,1,1,0.374187830017436
"182",1,0,0,1,1,0.375537892768255
"183",1,0,0,1,1,0.372293624757882
